mes_anio;servicio_frecuencia_a;servicio_frecuencia_b;servicio_frecuencia_c;servicio_frecuencia_d;servicio_frecuencia_e;servicio_frecuencia_h;servicio_frecuencia_premetro;;;;
2019-01;03:54;03:36;03:50;04:10;08:00;05:17;08:38;;;;
2019-02;03:56;03:32;03:56;04:10;07:45;05:15;08:33;;;;
2019-03;03:06;03:01;03:16;03:23;07:02;03:19;08:13;;;;
2019-04;03:08;03:18;03:13;03:08;06:22;03:15;08:09;;;;
2019-05;02:53;03:17;03:26;03:11;06:03;03:15;07:59;;;;
2019-06;02:51;03:21;03:27;03:06;05:46;03:04;08:25;;;;
2019-07;02:52;03:19;03:16;02:48;05:50;03:12;08:20;;;;
2019-08;03:02;03:32;03:13;02:58;06:47;03:09;08:27;;;;
2019-09;03:00;03:19;03:20;03:03;06:29;03:05;08:16;;;;
2019-10;03:03;03:17;03:08;03:01;05:32;03:09;08:16;;;;
2019-11;03:00;03:09;03:14;03:02;05:04;03:05;07:54;;;;
2019-12;03:07;03:07;03:16;02:54;05:07;03:11;08:09;;;;
2020-01;03:50;04:00;03:36;03:36;05:37;04:54;08:07;;;;
2020-02;04:05;04:57;04:37;03:33;06:26;04:55;08:55;;;;
2020-03;04:00;04:30;03:57;03:49;07:02;03:39;11:50;;;;
2020-04;09:24;10:37;06:17;08:28;14:38;07:24;18:32;;;;
2020-05;08:49;08:58;05:02;06:57;12:42;06:55;15:14;;;;
2020-06;08:30;09:04;05:28;08:14;11:53;09:46;15:29;;;;
2020-07;08:31;08:52;06:20;08:17;13:27;09:49;15:19;;;;
2020-08;09:21;09:27;06:56;08:02;12:46;09:24;15:17;;;;
2020-09;08:51;08:51;05:22;08:36;12:36;08:57;15:01;;;;
2020-10;09:01;09:10;04:45;08:04;13:50;07:48;13:42;;;;
2020-11;08:02;08:01;04:15;06:18;14:15;07:33;12:33;;;;
2020-12;06:06;06:47;04:15;05:16;10:27;05:42;11:52;;;;
2021-01;05:33;06:45;04:03;05:04;12:17;05:43;12:24;;;;
2021-02;05:31;06:32;04:16;05:01;11:20;05:30;12:41;;;;
2021-03;05:32;05:47;04:04;04:33;10:43;05:36;13:24;;;;
2021-04;05:19;06:00;03:56;04:43;09:14;05:31;12:47;;;;
2021-05;05:20;05:56;04:02;04:44;08:27;05:41;11:50;;;;
2021-06;05:20;05:50;03:57;04:46;08:18;05:33;11:06;;;;
2021-07;05:17;05:36;03:53;04:45;09:00;05:31;11:49;;;;
2021-08;03:48;04:39;04:12;04:09;07:46;04:58;11:46;;;;
2021-09;03:48;04:46;04:29;04:03;08:02;04:57;12:27;;;;
2021-10;03:46;04:43;04:24;04:05;07:09;04:52;11:26;;;;
2021-11;03:50;04:33;04:34;04:12;07:46;04:56;12:12;;;;
2021-12;03:46;04:31;04:21;04:00;07:39;04:58;12:42;;;;
2022-01;04:11;05:47;05:13;04:09;08:27;04:52;14:06;;;;
2022-02;04:10;05:16;04:50;04:08;07:20;04:53;12:21;;;;
2022-03;03:50;04:27;04:19;04:03;07:06;04:26;11:54;;;;
2022-04;03:36;04:33;03:25;03:48;06:55;04:27;10:41;;;;
2022-05;03:35;04:16;03:24;03:48;06:41;04:24;10:27;;;;
2022-06;03:35;04:17;03:28;03:49;07:14;04:26;09:58;;;;
2022-07;03:38;04:25;03:26;03:46;06:35;04:25;10:31;;;;
2022-08;03:35;04:34;03:29;03:50;07:10;04:25;10:08;;;;
2022-09;03:24;04:31;03:22;03:36;06:22;04:06;09:47;;;;
2022-10;03:23;04:38;03:21;03:35;06:19;04:03;09:39;;;;
2022-11;03:29;04:33;03:27;03:41;06:18;03:59;09:58;;;;
2022-12;03:27;04:28;03:41;03:34;06:39;03:57;10:15;;;;
2023-01;03:52;05:11;03:49;04:16;06:53;04:51;11:29;;;;
2023-02;03:49;05:43;03:51;04:16;06:57;04:51;10:18;;;;
2023-03;03:26;04:51;03:40;03:42;06:37;04:10;11:30;;;;
2023-04;03:58;04:20;03:39;03:45;06:15;04:00;09:26;;;;
2023-05;03:42;04:19;03:33;03:47;06:15;04:03;11:43;;;;
2023-06;03:36;04:22;03:43;03:51;05:49;04:13;10:47;;;;
2023-07;03:29;04:49;03:32;03:36;06:22;03:39;11:06;;;;
2023-08;03:35;05:00;03:32;03:43;06:09;03:45;11:48;;;;
2023-09;03:19;04:37;03:19;03:37;05:36;03:40;11:21;;;;
2023-10;03:17;04:38;03:13;03:34;06:03;03:25;11:33;;;;
2023-11;03:10;04:11;03:23;03:46;05:48;03:26;12:30;;;;
2023-12;03:11;04:16;03:15;03:51;05:25;03:29;12:14;;;;
2024-01;03:41;04:22;03:49;N/A;07:03;04:55;12:33;;;;
2024-02;03:36;05:14;03:52;N/A;07:01;04:54;11:23;;;;
2024-03;03:09;04:13;03:22;05:06;05:57;03:25;11:08;;;;
2024-04;03:05;04:11;03:23;05:08;05:14;03:27;11:47;;;;
2024-05;03:00;04:13;03:14;05:02;05:02;03:30;12:55;;;;
2024-06;03:01;04:07;03:20;04:39;05:04;03:25;12:32;;;;
2024-07;03:05;03:58;03:19;04:28;05:08;03:26;12:03;;;;
2024-08;03:12;04:02;03:18;04:24;04:57;03:26;28:00;;;;
2024-09;03:01;04:09;03:16;04:36;04:57;03:25;11:23;;;;
2024-10;03:03;03:59;03:19;04:38;05:05;03:27;11:29;;;;
2024-11;03:04;04:05;03:20;04:14;05:23;03:30;11:31;;;;
2024-12;03:06;03:59;03:15;04:27;05:27;03:29;10:05;;;;
2025-1;03:37;04:41;03:45;04:35;06:26;04:52;10:12;;;;
2025-2;03:34;04:34;03:28;04:29;06:07;04:34;10:39;;;;
2025-3;03:19;04:05;03:10;03:59;05:25;03:26;10:50;;;;
2025-4;03:10;03:56;03:11;03:53;05:32;03:26;10:04;;;;
2025-5;03:09;04:01;03:09;04:05;05:14;03:28;10:42;;;;
2025-6;03:06;04:13;03:12;03:47;05:20;03:25;10:33;;;;
2025-7;03:09;03:53;03:12;03:28;05:12;03:27;10:29;;;;
2025-8;03:07;04:14;03:13;03:35;05:14;03:27;09:55;;;;
2025-9;03:05;04:10;03:08;03:37;05:13;03:26;10:53;;;;
2025-10;03:11;04:18;03:11;03:38;05:17;03:26;10:53;;;;
2025-11;03:09;04:30;03:11;03:26;05:17;03:28;10:27;;;;
2025-12;03:07;04:17;03:09;03:30;05:09;03:25;10:44;;;;
2026-1;03:31;04:51;03:46;04:33;06:26;04:40;12:40;;;;
2026-2;03:29;04:46;03:37;04:31;06:29;04:25;10:40;;;;
2026-3;;;;;;;;;;;
2026-4;;;;;;;;;;;
2026-5;;;;;;;;;;;
2026-6;;;;;;;;;;;
2026-7;;;;;;;;;;;
2026-8;;;;;;;;;;;
2026-9;;;;;;;;;;;
2026-10;;;;;;;;;;;
2026-11;;;;;;;;;;;
2026-12;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
